,LATITUDE,LONGITUDE
4387,33.6319,-87.0597
7485,33.0583,-83.8072
3597,38.3722,-87.7661
1177,34.1256,-84.9192
2108,45.8831,-106.614
5505,41.8917,-83.3461
4792,38.5583,-90.8361
4413,38.4731,-81.8233
8684,29.4783,-95.6358
3561,38.9347,-82.1158
5827,36.9047,-111.3886
2282,36.3903,-87.6539
5319,32.2597,-94.5703
7543,45.3792,-93.8958
3943,39.3844,-80.3325
6132,31.185,-96.4853
4410,41.7378,-108.7875
4826,42.1103,-104.8828
7015,37.9256,-87.0372
7443,36.8006,-108.4386
3595,38.7497,-85.035
7416,29.9172,-96.7506
8783,39.2825,-96.1153
4312,38.6361,-83.6939
1215,40.6344,-80.42
6425,38.2792,-89.667
2267,33.3692,-80.1119
6502,37.2608,-86.9783
2830,29.73934,-95.022404
4577,40.6604,-79.3411
971,38.205,-89.855
6562,38.5267,-87.2525
1043,36.2811,-80.0603
2278,28.9594,-82.7003
4215,39.4472,-94.98
335,41.630556,-87.126944
8471,41.6133,-87.3281
7695,34.3186,-109.1636
5312,35.5975,-80.9658
4895,31.4219,-96.2525
2151,40.3842,-79.0611
5550,39.2014,-79.2667
2128,38.2081,-104.5747
7460,30.5681,-97.0614
4786,38.3472,-94.6389
1785,40.2522,-80.6486
5836,40.6215,-95.7765
5514,33.0917,-95.0417
2079,47.3761,-101.1567
2246,40.4627,-107.5912
676,30.598192,-87.248807
3773,38.7,-83.8175
1176,47.2603,-93.6531
8918,41.18,-95.8408
1399,30.098563,-90.95599
4256,39.5035,-112.5811
8685,40.5308,-80.6311
4094,39.1747,-111.0289
7041,36.4833,-79.0731
1079,27.7944,-82.4036
5453,38.0531,-85.91
8298,38.5847,-85.4117
8974,26.6986,-80.3747
3588,41.0808,-101.1408
4230,35.6733,-91.4083
982,31.0069,-88.0103
5554,38.9794,-81.9344
7533,37.1517,-88.775
5477,39.8297,-80.8153
2917,42.8445,-87.829
1121,29.3775,-94.9328
1962,37.3822,-77.3833
7512,29.7333,-81.6339
5577,35.7617,-95.2847
8223,39.5531,-92.6392
6630,42.5381,-87.9033
5481,41.68,-87.4264
1080,31.8206,-96.0561
1045,42.7748,-82.4945
572,47.3714,-101.8344
4049,40.511,-79.1968
4310,42.9103,-86.2036
4378,33.8244,-84.475
1180,31.395,-92.7167
8161,33.81323,-118.24298
6634,39.3668,-81.2944
3272,36.69,-108.4814
2829,30.484917,-91.17392
9041,34.4236,-92.1392
5393,39.1131,-84.8031
7053,38.1306,-90.2625
3257,39.7107,-79.9275
5380,39.0694,-87.5108
1847,39.9239,-87.4272
3057,30.0639,-94.0703
1082,30.7261,-91.3669
3539,36.3156,-86.4006
4600,35.8992,-84.5194
5866,36.5147,-89.5617
2211,34.5778,-109.2717
3637,33.6446,-87.2003
2453,42.8378,-105.7769
4311,29.3091,-98.3205
5194,29.883333,-93.958333
2078,36.8692,-78.7046
2110,43.4864,-89.4203
8253,34.1847,-102.5686
3938,35.2972,-101.7475
6670,40.5408,-89.6786
6752,41.2175,-87.0239
2074,38.7383,-85.4192
4096,39.3792,-111.0781
2440,30.5335,-88.5574
3774,32.4607,-94.4852
5826,41.7572,-110.5986
4624,38.9161,-82.1281
7705,30.4311,-81.5508
1890,46.7559,-122.8578
1181,39.1792,-76.5383
5461,47.0664,-101.2139
8966,33.0583,-94.844
8921,33.4124,-85.0345
8687,38.8689,-84.2286
876,41.6703,-87.4803
2152,40.1842,-81.8811
6954,34.8422,-79.7444
4956,39.7078,-79.9588
4031,27.7886,-81.8694
2089,39.0586,-89.4031
1480,30.182611,-93.322809
5317,27.0536,-80.5628
2981,32.861516,-96.806516
602,41.4739,-81.6728
4584,39.5906,-89.4964
182,39.4968,-84.3901
2290,28.4836,-81.1686
4860,47.2819,-101.3194
2592,33.2442,-86.4567
7583,38.9158,-90.2917
2867,36.5192,-82.535
8889,38.8375,-90.0675
5987,30.4172,-81.5525
195,37.915,-87.3328
5527,38.3592,-76.9767
1441,37.938779,-122.396453
6635,35.6626,-89.9469
6619,32.6094,-85.0961
7633,42.8457,-87.8294
7608,36.4537,-97.0527
613,39.8675,-88.885
5918,29.9472,-90.1458
2484,39.5936,-75.6337
7154,29.722222,-95.126944
605,41.651165,-87.459167
6196,41.0961,-92.5556
7461,31.4753,-96.9564
5929,30.000723,-90.403768
5515,41.0714,-76.6672
8467,42.281735,-83.110231
123,17.9451,-66.1503
2848,38.9031,-84.8511
7702,42.7642,-82.4719
2584,38.5731,-82.7833
5281,30.06132,-90.59353
2478,29.7153,-95.1361
3238,44.7684,-93.0406
1981,30.343733,-88.4938
3156,28.6753,-96.5495
2886,43.715,-87.7094
3258,26.6967,-81.7831
5433,43.5861,-84.2242
3157,32.7563,-96.4916
8495,33.2961,-92.5933
496,35.0742,-90.1439
5963,36.4317,-95.7008
1443,33.908126,-118.41074
2977,32.861516,-96.806516
5262,27.6058,-82.3456
2464,42.3026,-83.154
2405,28.993619,-95.397713
7463,28.8419,-81.3256
5901,38.9361,-88.2778
8578,36.233516,-95.719098
9022,44.8606,-89.6553
2534,32.0306,-93.5692
4419,33.647444,-93.809056
2296,37.4497,-87.0803
4582,38.6903,-83.4803
5353,32.3478,-81.1828
4966,41.3153,-91.0936
3690,47.360814,-101.838222
7155,38.016594,-122.115392
2071,35.22,-81.7594
1161,40.0864,-109.2844
870,70.257844,-148.43581
6903,33.3761,-89.2183
1216,40.097,-76.6962
3198,40.1464,-74.7406
1936,39.8078,-104.9648
6571,39.9058,-75.2122
4434,37.2103,-88.8606
8463,40.3925,-79.8564
1023,27.9072,-82.4231
8925,38.96986,-78.179995
8942,33.8264,-80.6218
2101,28.7128,-97.2142
1910,29.8356,-95.1242
2261,30.5661,-87.2289
7395,30.0242,-93.875
6522,40.2217,-103.6803
8672,36.9161,-82.3381
7376,29.0728,-95.745
7447,28.7044,-98.4781
8930,33.26151,-87.31156
6910,35.6853,-97.2242
4843,39.0913,-84.8667
6622,30.3215,-91.2392
6746,37.6467,-87.5006
8548,27.81775,-97.482552
96,41.928594,-91.687203
2585,41.4797,-88.2581
3601,32.9761,-112.694
2438,43.6425,-83.8431
3961,40.2797,-90.0775
6217,27.8613,-82.6012
8328,31.0932,-96.6965
881,70.320033,-148.500179
7699,29.987341,-90.445067
7522,40.4081,-79.0339
5584,42.3917,-71.0667
6884,40.7585,-73.9451
3650,36.1906,-95.2889
8550,38.074864,-122.143574
2556,44.3901,-105.4591
1428,38.21229,-85.83975
3772,35.3775,-78.0875
6753,30.2861,-93.2917
8608,29.985278,-90.392778
4320,29.3072,-98.3228
498,45.03,-92.7786
2168,36.759,-108.16097
1991,34.9394,-110.3033
7439,37.7624642,-121.9814354
6155,34.0825,-99.1753
2593,40.5958,-89.6631
2241,47.2217,-101.8139
8322,25.4356,-80.3308
6574,40.6365,-74.2199
8923,33.4071,-85.0379
2839,30.221,-93.2826
2891,38.8067,-87.2472
3573,42.3022,-96.3622
3970,40.4856,-107.185
411,30.4284,-92.4112
5320,40.796,-75.107
6328,29.68,-89.980833
8220,34.7094,-84.9182
9014,39.0072,-95.2692
9080,33.0163,-79.9285
1996,36.3853,-114.9228
6169,36.0119,-95.6967
4904,40.6225,-74.2097
4424,36.0278,-87.9861
6449,18.4275,-66.1052
8945,39.5314,-81.7172
9107,33.3303,-79.3611
1555,31.99845,-102.079948
384,40.7825,-73.8964
9136,44.2886,-105.3847
2834,41.4167,-88.1833
3107,27.832011,-97.525582
5436,32.4302,-97.0537
6018,29.9861,-90.4575
7971,33.854967,-118.336907
458,29.859444,-93.965833
8202,30.320903,-91.239015
873,48.8864,-122.7353
3850,38.109942,-90.257947
3968,39.1306,-94.4778
7562,41.8805,-110.0904
2866,32.4472,-94.6917
6442,17.95,-66.23249
1777,28.4694,-80.7642
7878,38.0251,-122.0639
2602,37.7889,-84.7139
5152,37.9742,-90.0678
5240,34.8358,-89.2017
4903,40.6322,-74.2156
5195,30.10846,-90.89677
5290,39.584632,-80.362401
1077,40.6175,-75.3147
3296,31.8907,-96.1128
1903,38.5444,-76.6861
6904,40.4481,-74.3497
68,37.9053,-87.715
3732,29.6237,-98.1395
8554,29.369167,-94.911111
864,35.70306,-101.36305
4086,34.0158,-95.3206
2591,32.3814,-86.5736
4811,33.6314,-95.589
1219,36.766854,-77.711098
1091,45.3047,-96.5103
130,35.1929,-94.6469
5856,42.3231,-86.2925
2561,40.4663,-89.9841
4157,29.230631,-95.188487
9077,41.6334,-88.0626
1844,38.375,-82.6042
588,32.0619,-109.8931
1409,29.833365,-95.11202
966,41.6433,-87.1225
6649,26.0856,-80.1253
6687,46.5789,-87.395
4805,40.3311,-111.7547
2548,37.8181,-77.4478
8149,32.6503,-86.7386
4416,34.3477,-82.776
6652,43.3842,-87.8689
3232,36.2561,-94.5241
1400,32.904368,-90.383137
6986,26.7653,-80.0528
4313,44.3026,-91.9126
4299,40.3509,-76.3658
5949,41.3297,-95.9458
6886,40.8611,-105.0206
5339,36.5278,-78.8917
4418,37.1519,-93.3892
4803,41.8736,-71.8947
5314,39.82446,-80.6035
4638,45.072443,-83.404362
6578,36.68807,-97.08786
4968,30.4903,-91.1875
1553,37.04536,-95.60517
4417,36.3767,-82.9639
4377,33.101,-97.9574
5288,37.6206,-88.955
8260,29.957935,-93.897484
6162,28.969389,-95.379528
6913,33.33,-112.84
2856,40.7281,-73.9742
1060,40.8375,-74.0244
7377,29.070847,-95.750363
1367,34.6222,-117.1001
6275,33.426976,-81.932898
8252,41.6328,-83.5019
3799,21.356648,-158.127993
4025,33.0,-85.9031
2726,29.75816,-95.36782
95,41.818117,-90.214731
882,70.320628,-148.52129
8155,37.8667,-78.3813
1963,40.5383,-79.7906
8287,42.1236,-83.1811
2918,37.7958,-87.0597
555,28.1844,-82.7887
1251,28.0809,-81.9256
7156,48.472836,-122.560194
965,39.92264,-80.46456
5284,39.8083,-75.4225
6552,30.16115,-95.45389
2437,39.7539,-89.6011
1076,42.5905,-73.7636
3874,29.7125,-95.235833
5558,34.0836,-117.2408
4189,28.673056,-96.953611
1027,29.7731,-94.9019
1185,41.7125,-71.1914
127,21.301222,-158.107306
6174,29.8169,-95.1086
2520,35.951944,-101.873889
1909,29.7189,-95.2319
8310,41.524895,-109.521106
1234,36.0211,-84.1567
3572,42.3251,-96.3797
3843,37.6472,-87.5028
